,marketSegment,name,slug,ticker,totalSupply
392,Platform,Commercium,commercium,CMM,44297171.85490401
393,Ethereum,TenX,tenx,PAY,205218255.94857776
394,,Elite,1337coin,1337,29381014024.1221
395,Ethereum,GOLD Reward Token,gold-reward-token,GRX,20000000
396,Ethereum,0xBitcoin,0xbtc,0xBTC,20999984
397,Ethereum,SPINDLE,spindle,SPD,10000000000
398,Ethereum,ONOToken,onotoken,ONOT,75000000000
399,Ethereum,BeeKan,beekan,BKBT,10000000000
400,Neo,Gas,gas,GAS,17190378
401,Cryptocurrency,Emercoin,emercoin,EMC,46634905.629353
402,Ethereum,COPYTRACK,copytrack,CPY,52999378
403,Yield farming,Nyan V2,nyan-v2,NYAN-2,
404,Cryptocurrency,EUNO,euno,EUNO,6056533047.970172
405,Ethereum,Dignity,dignity,DIG,3000000000
406,Protocol,Odyssey,odyssey,OCN,10000000000
407,Other,Crypto improvement fund,crypto-improvement-fund,CIF,211329521.0005
408,Exchange,Themis,themis,GET,1000000000
409,Ethereum,CanonChain,cononchain,CZR,1618033988
410,Neo,Experience Token,experience-token,EXT,10000000000
411,Smart Contracts,Ether Zero,ether-zero,ETZ,218602719.7
412,Blockchain Service,Namecoin,namecoin,NMC,14736400
413,Fund,Invictus Hyperion Fund,invictus-hyperion-fund,IHF,119941688.5638736
414,Ethereum,DigixDAO,digixdao,DGD,140211.85659011
415,Financial,ZelCash,zelcash,ZEL,86939300
416,IoT,HDAC,hdac,DAC,2851982500
417,Platform,Primas,primas,PST,101342465.753
418,Exchange,Coni,coni,CONI,1000000000
419,Jobs,VikkyToken,vikkytoken,VIKKY,12000000000
420,Cryptocurrency,MonaCoin,monacoin,MONA,65729674.87116792
421,Blockchain Network,DACC,dacc,DACC,30000000000
422,EOS,Paytomat,paytomat,PTI,3600000000
423,Blockchain Service,Time New Bank,time-new-bank,TNB,4415707418.218691
424,Transportation,ShipChain,shipchain,SHIP,500000000
425,AI,Effect.AI,effect-ai,EFX,650000000
426,Ethereum,Zipper,zip,ZIP,100000000000
427,Sports,Esports Token,esports-token,EST,1000000000
428,Ethereum,Everus,everus,EVR,1000000000
429,Blockchain Network,Zen Protocol,zen-protocol,ZP,26631450
430,Gaming,GoldenFever,goldenfever,GFR,275264.3936
431,Ethereum,Yuan Chain Coin,yuan-chain-coin,YCC,10000000000
432,Marketplace,MediShares,medishares,MDS,2000000000
433,Platform,XTRABYTES,xtrabytes,XBY,650000000
434,Privacy,Beam,beam,BEAM,76790440
435,,PACcoin,paccoin,$PAC,7491055710.51631
436,Exchange,Mothership,mothership,MSP,200000000
437,Gambling,Wagerr,wagerr,WGR,216870422.7806185
438,E-Commerce,Connect Coin,connect-coin,XCON,70000000
439,Ethereum,Grid+,gridplus,GRID,300000000
440,Platform,StockChain,stockchain,SCC,10000000000
441,Ethereum,OWL Token (StealthSwap),owl-token-stealthswap,OWL,10000000
442,Smart Contracts,TomoChain,tomochain,TOMO,100000000
443,Media,Scorum,scorum-coins,SCR,29265074.799
444,Marketing,qiibee,qiibee,QBX,1380392157
445,Smart Contracts,Smart Bitcoin,smart-bitcoin,RBTC,20999763.5576833
446,Marketplace,EUNOMIA,eunomia,ENTS,19973330191.3784
447,Cryptocurrency,Jiyo,jiyo,JIYOX,19171174.0990736
448,Ethereum,Moeda Loyalty Points,moeda-loyalty-points,MDA,19628888
449,Ethereum,Request,request,REQ,999966002.0851803
450,Platform,VITE,vite,VITE,1005731113.8385613
451,Education,Wiki Token,wiki-token,WIKI,21000000
452,Cryptocurrency,Bitcoin Atom,bitcoin-atom,BCA,21000000
453,Masternodes,Divi,divi,DIVI,2035299905.8623862
454,Ethereum,Content Value Network,content-value-network,CVNT,1000000000
455,Smart Contracts,Hurify,hurify,HUR,273325000
456,Gambling,GambleCoin,gamblecoin,GMCN,11109659.8393475
457,Cryptocurrency,FairCoin,faircoin,FAIR,53193831.469966
458,DeFi,YFPRO Finance,yfpro-finance,YFPRO,25000
459,Cryptocurrency,DigitalNote,digitalnote,XDN,5090102486.017388
460,Lending,SALT,salt,SALT,120000000
461,Cryptocurrency,Bitcore,bitcore,BTX,18477704.223048
462,Cryptocurrency,Primecoin,primecoin,XPM,34288743.83027372
463,Blockchain Network,Aeternity,aeternity,AE,372476834.49932
464,Ethereum,Snetwork,snetwork,SNET,1000000000
465,Ethereum,No BS Crypto,no-bs-crypto,NOBS,2140934640.599729
466,Cryptocurrency,Groestlcoin,groestlcoin,GRS,76468833.88736624
467,Gambling,BlitzPredict,blitzpredict,XBP,950873123.2766
468,Ethereum,Hermez Network,hermez-network,HEZ,100000000
469,Steem,Steem Dollars,steem-dollars,SBD,5838652.133
470,Cryptocurrency,Lightning Bitcoin,lightning-bitcoin,LBTC,7465926
471,Binance,Red Pulse,red-pulse,PHX,3391976087.0243707
472,DeFi,APY.Finance,apy-finance,APY,100000000
473,Blockchain Service,Eligma,eligma-token,ELI,327902034
474,Blockchain Service,nOS,nos,NOS,330000000
475,Ethereum,Zoracles,zoracles,ZORA,10000
476,Ethereum,Bitsdaq,bitsdaq,BQQQ,10000000000
477,Ethereum,ValueChain,valuechain,VLC,300000000
478,Exchange,Graviocoin,graviocoin,GIO,293438521.758814
479,Cryptocurrency,Stealth,stealth,XST,37836957.02122957
480,Cryptocurrency,Bitsum,bitsum,BSM,1844674407
481,,SHIELD,shield-xsh,XSH,512973375.2344635
482,Binance,Pivot Token,pivot-token,PVT,31415926535
483,Media,SnipCoin,snipcoin,SNIP,10000000000
484,Ethereum,FirstBlood,firstblood,1ST,93468691
485,Decentralized Exchange,Yearn-finance Infrastructure Labs,yearn-finance-infrastructure-labs,YLAB,9000
486,Cryptocurrency,MinexCoin,minexcoin,MNX,6597237.5
487,Ethereum,FANTOM,fantom,FTM,2539483044
488,Financial,TokenPay,tokenpay,TPAY,21742651.08269281
489,Verification,Faceter,faceter,FACE,938538326
490,Cryptocurrency,Litecoin Cash,litecoin-cash,LCC,701841449.9584943
491,Cryptocurrency,Pura,pura,PURA,183205630.159698
